BUILDING ID	CARBON DIOXIDE EMISSIONS	GROSS BUILDING FLOOR AREA	PROPERTY TYPE	SITE ENERGY USE INTENSITY (EUI)	WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI)	YEAR BUILT	LADBS Building Category
486833000000.0	2.6	66056	Self-Storage Facility	0.7	0.6	2009	50,000 to 99,999 sqft
382559000000.0	68.6	34246	Multifamily Housing	28.6	28.6	1988	20,000 to 49,999 sqft
418516000000.0	410.5	68757	Hotel	100.6	99.5	1974	50,000 to 99,999 sqft
487179000000.0	26.1	55611	Non-Refrigerated Warehouse	6.6	6.6	1968	20,000 to 49,999 sqft
429039000000.0	63	23070	Multifamily Housing	44.3	44.3	1964	20,000 to 49,999 sqft
440005000000.0	57.2	53480	Multifamily Housing	17.2	17	2004	20,000 to 49,999 sqft
413130000000.0	392.4	20215	Other - Mall	319.3	314.4	1948	20,000 to 49,999 sqft
454132000000.0	49.6	42309	Multifamily Housing	17.1	17.1	1971	20,000 to 49,999 sqft
112217000000.0	209.1	86308	Multifamily Housing	38.1	38.2	2010	50,000 to 99,999 sqft
435307000000.0	10.7	97313	Self-Storage Facility	1.6	1.6	1988	100,000+ sqft
417156000000.0	36.7	28716	Multifamily Housing	18	18	1974	20,000 to 49,999 sqft
412258000000.0	182	37606	Office	76.6	81.2	1999	20,000 to 49,999 sqft
476742000000.0	18.7	27000	Multifamily Housing	12.5	13.4	1986	20,000 to 49,999 sqft
480442000000.0	86.3	30843	Multifamily Housing	45.5	45.5	2002	20,000 to 49,999 sqft
494988000000.0	93.1	49467	Multifamily Housing	30.1	29.7	2011	20,000 to 49,999 sqft
494983000000.0	104.6	22499	Non-Refrigerated Warehouse	67.8	67.8	1960	20,000 to 49,999 sqft
427740000000.0	164.9	66460	Multifamily Housing	41.6	41.6	1989	50,000 to 99,999 sqft
438964000000.0	85.7	27171	Multifamily Housing	53.6	57.4	1959	20,000 to 49,999 sqft
472084000000.0	76.3	33810	Multifamily Housing	38.3	37.8	1963	20,000 to 49,999 sqft
429265000000.0	115.9	69230	Multifamily Housing	29.3	29.7	1971	50,000 to 99,999 sqft
3086.0	1168.3	289108	Hotel	61	61.4	1980	100,000+ sqft
442267000000.0	114	21800	Manufacturing/Industrial Plant	90.4	90.4	1968	20,000 to 49,999 sqft
492568000000.0	22	23184	Non-Refrigerated Warehouse	13.4	13.4	2001	20,000 to 49,999 sqft
379475000000.0	663.5	322943	Office	30	30	1999	100,000+ sqft
485161000000.0	75.6	78950	Manufacturing/Industrial Plant	13.5	13.7	1930	50,000 to 99,999 sqft
465051000000.0	294.8	52929	Office	81.3	81.3	1987	50,000 to 99,999 sqft
431057000000.0	142.2	44052	Office	48.9	49.1	1965	20,000 to 49,999 sqft
440780000000.0	37.1	22507	Multifamily Housing	25.7	25.7	1995	20,000 to 49,999 sqft
381242000000.0	145.2	67821	Retail Store	33.7	35.2	1955	50,000 to 99,999 sqft
435956000000.0	3152.7	816615	Office	57	57	1965	100,000+ sqft
